ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61400449,Publica,NA,NA,2,319.91,311.31,5.95,Q4_Alto,Q4_Alto,Alto_INSE
61416147,Publica,Interior,Urbana,2,319.27,310.28,5.5,Q4_Alto,Q4_Alto,Alto_INSE
61459744,Publica,Interior,Urbana,2,319.13,305.4,5.46,Q4_Alto,Q4_Alto,Alto_INSE
61442157,Publica,Interior,Urbana,2,318.9,294.48,5.92,Q4_Alto,Q4_Alto,Alto_INSE
61421813,Publica,Interior,Rural,2,318.67,298.35,5.24,Q4_Alto,Q4_Alto,Alto_INSE
61405124,Publica,NA,NA,2,315.74,308.93,6.09,Q4_Alto,Q4_Alto,Alto_INSE
61459473,Publica,Interior,Rural,2,315.71,310.29,5.37,Q4_Alto,Q4_Alto,Alto_INSE
61412884,Publica,Capital,Urbana,2,314.94,315.29,5.94,Q4_Alto,Q4_Alto,Alto_INSE
61428134,Publica,Interior,Urbana,2,314.56,306.65,5.01,Q4_Alto,Q4_Alto,Medio_INSE
61449563,Publica,Interior,Urbana,2,314.26,311.26,4.9,Q4_Alto,Q4_Alto,Medio_INSE
61416760,Publica,Interior,Urbana,2,314.15,317.97,5.89,Q4_Alto,Q4_Alto,Alto_INSE
61399450,Publica,Interior,Urbana,2,313.27,328.68,5.28,Q4_Alto,Q4_Alto,Alto_INSE
61442597,Publica,Interior,Urbana,2,313.27,310.4,5.35,Q4_Alto,Q4_Alto,Alto_INSE
61454105,Publica,Interior,Rural,2,313.04,305.43,5.54,Q4_Alto,Q4_Alto,Alto_INSE
61416604,Publica,Interior,Urbana,2,312.54,298.49,5.49,Q4_Alto,Q4_Alto,Alto_INSE
61425743,Publica,NA,NA,2,312.12,305.18,5.71,Q4_Alto,Q4_Alto,Alto_INSE
61428727,Publica,Interior,Urbana,2,311.19,317.22,5.42,Q4_Alto,Q4_Alto,Alto_INSE
61432977,Publica,Interior,Urbana,2,310.76,314.47,5.59,Q4_Alto,Q4_Alto,Alto_INSE
61443197,Publica,Interior,Urbana,2,310.72,293.18,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61445819,Publica,Interior,Urbana,2,310.7,316.56,6.02,Q4_Alto,Q4_Alto,Alto_INSE
61470085,Publica,Interior,Urbana,2,310.56,294.8,4.73,Q4_Alto,Q4_Alto,Medio_INSE
61465818,Publica,Interior,Urbana,2,310.27,322.49,5.82,Q4_Alto,Q4_Alto,Alto_INSE
